text,author
"He found the Daley cropping out of the apex of an exceedingly sharp-
pointed peak, and a couple of men up there “facing” the proposed tunnel.
Townsend made a calculation. Then he said to the men: We took up various claims, and _commenced_ shafts and tunnels on them,
but never finished any of them. We had to do a certain amount of work on
each to “hold” it, else other parties could seize our property after the
expiration of ten days. We were always hunting up new claims and doing a
little work on them and then waiting for a buyer—who never came. We
never found any ore that would yield more than fifty dollars a ton; and
as the mills charged fifty dollars a ton for _working_ ore and
extracting the silver, our pocket-money melted steadily away and none
returned to take its place. We lived in a little cabin and cooked for
ourselves; and altogether it was a hard life, though a hopeful one—for
we never ceased to expect fortune and a customer to burst upon us some
day. At last, when flour reached a dollar a pound, and money could not be
borrowed on the best security at less than _eight per cent a month_ (I
being without the security, too), I abandoned mining and went to
milling. That is to say, I went to work as a common laborer in a quartz
mill, at ten dollars a week and board.",Twain
"It had cleared in the morning, and the sun was shining with a subdued
brightness through the dim veil which hangs over the great city.
Sherlock Holmes was already at breakfast when I came down. “‘Between nine and ten last night Police-Constable Cook, of the H
Division, on duty near Waterloo Bridge, heard a cry for help and a
splash in the water. The night, however, was extremely dark and stormy,
so that, in spite of the help of several passers-by, it was quite
impossible to effect a rescue. The alarm, however, was given, and, by
the aid of the water-police, the body was eventually recovered. It
proved to be that of a young gentleman whose name, as it appears from
an envelope which was found in his pocket, was John Openshaw, and whose
residence is near Horsham. It is conjectured that he may have been
hurrying down to catch the last train from Waterloo Station, and that
in his haste and the extreme darkness he missed his path and walked
over the edge of one of the small landing-places for river steamboats.
The body exhibited no traces of violence, and there can be no doubt
that the deceased had been the victim of an unfortunate accident, which
should have the effect of calling the attention of the authorities to
the condition of the riverside landing-stages.’”",ConanDoyle
"We drank all the wine, and Mr. Pumblechook pledged himself over and
over again to keep Joseph up to the mark (I don’t know what mark), and
to render me efficient and constant service (I don’t know what
service). He also made known to me for the first time in my life, and
certainly after having kept his secret wonderfully well, that he had
always said of me, “That boy is no common boy, and mark me, his fortun’
will be no common fortun’.” He said with a tearful smile that it was a
singular thing to think of now, and I said so too. Finally, I went out
into the air, with a dim perception that there was something unwonted
in the conduct of the sunshine, and found that I had slumberously got
to the turnpike without having taken any account of the road. There, I was roused by Mr. Pumblechook’s hailing me. He was a long way
down the sunny street, and was making expressive gestures for me to
stop. I stopped, and he came up breathless. “No, my dear friend,” said he, when he had recovered wind for speech.
“Not if I can help it. This occasion shall not entirely pass without
that affability on your part.—May I, as an old friend and well-wisher?
_May_ I?”",Dickens
"We got there in about a half an hour fairly dripping, for it was a most
awful hot day. There was as much as a thousand people there from twenty
mile around. The woods was full of teams and wagons, hitched
everywheres, feeding out of the wagon-troughs and stomping to keep off
the flies. There was sheds made out of poles and roofed over with
branches, where they had lemonade and gingerbread to sell, and piles of
watermelons and green corn and such-like truck. The preaching was going on under the same kinds of sheds, only they was
bigger and held crowds of people. The benches was made out of outside
slabs of logs, with holes bored in the round side to drive sticks into
for legs. They didn’t have no backs. The preachers had high platforms
to stand on at one end of the sheds. The women had on sun-bonnets; and
some had linsey-woolsey frocks, some gingham ones, and a few of the
young ones had on calico. Some of the young men was barefooted, and
some of the children didn’t have on any clothes but just a tow-linen
shirt. Some of the old women was knitting, and some of the young folks
was courting on the sly.",Twain
"MACBETH.
Go prick thy face and over-red thy fear,
Thou lily-liver’d boy. What soldiers, patch?
Death of thy soul! those linen cheeks of thine
Are counsellors to fear. What soldiers, whey-face? Seyton!—I am sick at heart,
When I behold—Seyton, I say!—This push
Will cheer me ever or disseat me now.
I have liv’d long enough: my way of life
Is fall’n into the sere, the yellow leaf;
And that which should accompany old age,
As honour, love, obedience, troops of friends,
I must not look to have; but, in their stead,
Curses, not loud but deep, mouth-honour, breath,
Which the poor heart would fain deny, and dare not.
Seyton!— MACBETH.
Cure her of that:
Canst thou not minister to a mind diseas’d,
Pluck from the memory a rooted sorrow,
Raze out the written troubles of the brain,
And with some sweet oblivious antidote
Cleanse the stuff’d bosom of that perilous stuff
Which weighs upon the heart? MACBETH.
Throw physic to the dogs, I’ll none of it.
Come, put mine armour on; give me my staff:
Seyton, send out.—Doctor, the Thanes fly from me.—
Come, sir, despatch.—If thou couldst, doctor, cast
The water of my land, find her disease,
And purge it to a sound and pristine health,
I would applaud thee to the very echo,
That should applaud again.—Pull’t off, I say.—
What rhubarb, senna, or what purgative drug,
Would scour these English hence? Hear’st thou of them?",Shakespeare
"Lord Henry stroked his pointed brown beard and tapped the toe of his
patent-leather boot with a tasselled ebony cane. “How English you are
Basil! That is the second time you have made that observation. If one
puts forward an idea to a true Englishman—always a rash thing to do—he
never dreams of considering whether the idea is right or wrong. The
only thing he considers of any importance is whether one believes it
oneself. Now, the value of an idea has nothing whatsoever to do with
the sincerity of the man who expresses it. Indeed, the probabilities
are that the more insincere the man is, the more purely intellectual
will the idea be, as in that case it will not be coloured by either his
wants, his desires, or his prejudices. However, I don’t propose to
discuss politics, sociology, or metaphysics with you. I like persons
better than principles, and I like persons with no principles better
than anything else in the world. Tell me more about Mr. Dorian Gray.
How often do you see him?” Hallward got up from the seat and walked up and down the garden. After
some time he came back. “Harry,” he said, “Dorian Gray is to me simply
a motive in art. You might see nothing in him. I see everything in him.
He is never more present in my work than when no image of him is there.
He is a suggestion, as I have said, of a new manner. I find him in the
curves of certain lines, in the loveliness and subtleties of certain
colours. That is all.”",Wilde
"“My inquiries show beyond all question that the family portrait did not lie, and that this fellow was indeed a Baskerville. He was a son of that Rodger Baskerville, the younger brother of Sir Charles, who fled with a sinister reputation to South America, where he was said to have died unmarried. He did, as a matter of fact, marry, and had one child, this fellow, whose real name is the same as his father’s. He married Beryl Garcia, one of the beauties of Costa Rica, and, having purloined a considerable sum of public money, he changed his name to Vandeleur and fled to England, where he established a school in the east of Yorkshire. His reason for attempting this special line of business was that he had struck up an acquaintance with a consumptive tutor upon the voyage home, and that he had used this man’s ability to make the undertaking a success. Fraser, the tutor, died however, and the school which had begun well sank from disrepute into infamy. The Vandeleurs found it convenient to change their name to Stapleton, and he brought the remains of his fortune, his schemes for the future, and his taste for entomology to the south of England. I learned at the British Museum that he was a recognized authority upon the subject, and that the name of Vandeleur has been permanently attached to a certain moth which he had, in his Yorkshire days, been the first to describe.",ConanDoyle
"In one place we came upon a large company of naked natives, of both
sexes and all ages, amusing themselves with the national pastime of
surf-bathing. Each heathen would paddle three or four hundred yards out
to sea, (taking a short board with him), then face the shore and wait
for a particularly prodigious billow to come along; at the right moment
he would fling his board upon its foamy crest and himself upon the
board, and here he would come whizzing by like a bombshell! It did not
seem that a lightning express train could shoot along at a more hair-
lifting speed. I tried surf-bathing once, subsequently, but made a
failure of it. I got the board placed right, and at the right moment,
too; but missed the connection myself.—The board struck the shore in
three quarters of a second, without any cargo, and I struck the bottom
about the same time, with a couple of barrels of water in me. None but
natives ever master the art of surf-bathing thoroughly. At the end of an hour, we had made the four miles, and landed on a level
point of land, upon which was a wide extent of old ruins, with many a
tall cocoanut tree growing among them. Here was the ancient City of
Refuge—a vast inclosure, whose stone walls were twenty feet thick at the
base, and fifteen feet high; an oblong square, a thousand and forty feet
one way and a fraction under seven hundred the other. Within this
inclosure, in early times, has been three rude temples; each two hundred
and ten feet long by one hundred wide, and thirteen high.",Twain
"To pacify Mary, and perhaps screen her own embarrassment, Anne did move
quietly to the window. She was just in time to ascertain that it really
was Mr Elliot, which she had never believed, before he disappeared on
one side, as Mrs Clay walked quickly off on the other; and checking the
surprise which she could not but feel at such an appearance of friendly
conference between two persons of totally opposite interest, she calmly
said, “Yes, it is Mr Elliot, certainly. He has changed his hour of
going, I suppose, that is all, or I may be mistaken, I might not
attend;” and walked back to her chair, recomposed, and with the
comfortable hope of having acquitted herself well. “Well, mother, I have done something for you that you will like. I have
been to the theatre, and secured a box for to-morrow night. A’n’t I a
good boy? I know you love a play; and there is room for us all. It
holds nine. I have engaged Captain Wentworth. Anne will not be sorry to
join us, I am sure. We all like a play. Have not I done well, mother?” “Good heavens, Charles! how can you think of such a thing? Take a box
for to-morrow night! Have you forgot that we are engaged to Camden
Place to-morrow night? and that we were most particularly asked to meet
Lady Dalrymple and her daughter, and Mr Elliot, and all the principal
family connexions, on purpose to be introduced to them? How can you be
so forgetful?”",HGWells
"It was close upon nine when he set out. I had no idea how long he might
be, but I sat stolidly puffing at my pipe and skipping over the pages
of Henri Murger’s “Vie de Bohème.” Ten o’clock passed, and I heard the
footsteps of the maid as they pattered off to bed. Eleven, and the more
stately tread of the landlady passed my door, bound for the same
destination. It was close upon twelve before I heard the sharp sound of
his latch-key. The instant he entered I saw by his face that he had not
been successful. Amusement and chagrin seemed to be struggling for the
mastery, until the former suddenly carried the day, and he burst into a
hearty laugh. “I wouldn’t have the Scotland Yarders know it for the world,” he cried,
dropping into his chair; “I have chaffed them so much that they would
never have let me hear the end of it. I can afford to laugh, because I
know that I will be even with them in the long run.” “You don’t mean to say,” I cried, in amazement, “that that tottering,
feeble old woman was able to get out of the cab while it was in motion,
without either you or the driver seeing her?”",ConanDoyle
"For the same reason, added no doubt to the old dislike of her, I was
seldom allowed to visit Peggotty. Faithful to her promise, she either
came to see me, or met me somewhere near, once every week, and never
empty-handed; but many and bitter were the disappointments I had, in
being refused permission to pay a visit to her at her house. Some few
times, however, at long intervals, I was allowed to go there; and then
I found out that Mr. Barkis was something of a miser, or as Peggotty
dutifully expressed it, was ‘a little near’, and kept a heap of money
in a box under his bed, which he pretended was only full of coats
and trousers. In this coffer, his riches hid themselves with such a
tenacious modesty, that the smallest instalments could only be tempted
out by artifice; so that Peggotty had to prepare a long and elaborate
scheme, a very Gunpowder Plot, for every Saturday’s expenses. All this time I was so conscious of the waste of any promise I had
given, and of my being utterly neglected, that I should have been
perfectly miserable, I have no doubt, but for the old books. They were
my only comfort; and I was as true to them as they were to me, and read
them over and over I don’t know how many times more.",Dickens
"“Before we can do anything else,” said Kemp, “I must understand a
little more about this invisibility of yours.” He had sat down, after
one nervous glance out of the window, with the air of a man who has
talking to do. His doubts of the sanity of the entire business flashed
and vanished again as he looked across to where Griffin sat at the
breakfast-table—a headless, handless dressing-gown, wiping unseen lips
on a miraculously held serviette. “Well, yes; to me it seemed wonderful at first, no doubt. But now,
great God! ... But we will do great things yet! I came on the stuff
first at Chesilstowe.” “Optical density! The whole subject is a network of riddles—a network
with solutions glimmering elusively through. And being but
two-and-twenty and full of enthusiasm, I said, ‘I will devote my life
to this. This is worth while.’ You know what fools we are at
two-and-twenty?” “But I went to work—like a slave. And I had hardly worked and thought
about the matter six months before light came through one of the meshes
suddenly—blindingly! I found a general principle of pigments and
refraction—a formula, a geometrical expression involving four
dimensions. Fools, common men, even common mathematicians, do not know
anything of what some general expression may mean to the student of
molecular physics. In the books—the books that tramp has hidden—there
are marvels, miracles! But this was not a method, it was an idea, that
might lead to a method by which it would be possible, without changing
any other property of matter—except, in some instances colours—to lower
the refractive index of a substance, solid or liquid, to that of air—so
far as all practical purposes are concerned.”",HGWells
"He shuddered, and for a moment he regretted that he had not told Basil
the true reason why he had wished to hide the picture away. Basil would
have helped him to resist Lord Henry’s influence, and the still more
poisonous influences that came from his own temperament. The love that
he bore him—for it was really love—had nothing in it that was not noble
and intellectual. It was not that mere physical admiration of beauty
that is born of the senses and that dies when the senses tire. It was
such love as Michelangelo had known, and Montaigne, and Winckelmann,
and Shakespeare himself. Yes, Basil could have saved him. But it was
too late now. The past could always be annihilated. Regret, denial, or
forgetfulness could do that. But the future was inevitable. There were
passions in him that would find their terrible outlet, dreams that
would make the shadow of their evil real. He took up from the couch the great purple-and-gold texture that
covered it, and, holding it in his hands, passed behind the screen. Was
the face on the canvas viler than before? It seemed to him that it was
unchanged, and yet his loathing of it was intensified. Gold hair, blue
eyes, and rose-red lips—they all were there. It was simply the
expression that had altered. That was horrible in its cruelty. Compared
to what he saw in it of censure or rebuke, how shallow Basil’s
reproaches about Sibyl Vane had been!—how shallow, and of what little
account! His own soul was looking out at him from the canvas and
calling him to judgement. A look of pain came across him, and he flung
the rich pall over the picture. As he did so, a knock came to the door.
He passed out as his servant entered.",Wilde
"“As I stood there musing over this too perfect triumph of man, the full
moon, yellow and gibbous, came up out of an overflow of silver light in
the north-east. The bright little figures ceased to move about below, a
noiseless owl flitted by, and I shivered with the chill of the night. I
determined to descend and find where I could sleep. “I looked for the building I knew. Then my eye travelled along to the
figure of the White Sphinx upon the pedestal of bronze, growing
distinct as the light of the rising moon grew brighter. I could see the
silver birch against it. There was the tangle of rhododendron bushes,
black in the pale light, and there was the little lawn. I looked at the
lawn again. A queer doubt chilled my complacency. ‘No,’ said I stoutly
to myself, ‘that was not the lawn.’ “But it _was_ the lawn. For the white leprous face of the sphinx was
towards it. Can you imagine what I felt as this conviction came home to
me? But you cannot. The Time Machine was gone! “When I reached the lawn my worst fears were realised. Not a trace of
the thing was to be seen. I felt faint and cold when I faced the empty
space among the black tangle of bushes. I ran round it furiously, as if
the thing might be hidden in a corner, and then stopped abruptly, with
my hands clutching my hair. Above me towered the sphinx, upon the
bronze pedestal, white, shining, leprous, in the light of the rising
moon. It seemed to smile in mockery of my dismay.",HGWells
"So here they come, full tilt. We could hear them because they wore boots and yelled, but we didn’t wear no boots and didn’t yell. We was in the path to the mill; and when they got pretty close on to us we dodged into the bush and let them go by, and then dropped in behind them. They’d had all the dogs shut up, so they wouldn’t scare off the robbers; but by this time somebody had let them loose, and here they come, making powwow enough for a million; but they was our dogs; so we stopped in our tracks till they catched up; and when they see it warn’t nobody but us, and no excitement to offer them, they only just said howdy, and tore right ahead towards the shouting and clattering; and then we up-steam again, and whizzed along after them till we was nearly to the mill, and then struck up through the bush to where my canoe was tied, and hopped in and pulled for dear life towards the middle of the river, but didn’t make no more noise than we was obleeged to. Then we struck out, easy and comfortable, for the island where my raft was; and we could hear them yelling and barking at each other all up and down the bank, till we was so far away the sounds got dim and died out. And when we stepped onto the raft I says:",Twain
"“You will not find her there. Quite worn out and broken up. I was the
last man who commanded her. Hardly fit for service then. Reported fit
for home service for a year or two, and so I was sent off to the West
Indies.” “The Admiralty,” he continued, “entertain themselves now and then, with
sending a few hundred men to sea, in a ship not fit to be employed. But
they have a great many to provide for; and among the thousands that may
just as well go to the bottom as not, it is impossible for them to
distinguish the very set who may be least missed.” “Phoo! phoo!” cried the Admiral, “what stuff these young fellows talk!
Never was a better sloop than the Asp in her day. For an old built
sloop, you would not see her equal. Lucky fellow to get her! He knows
there must have been twenty better men than himself applying for her at
the same time. Lucky fellow to get anything so soon, with no more
interest than his.” “I felt my luck, Admiral, I assure you;” replied Captain Wentworth,
seriously. “I was as well satisfied with my appointment as you can
desire. It was a great object with me at that time to be at sea; a very
great object, I wanted to be doing something.”",Austen
"‘What a prophet you have shown yourself, Mister Copperfield!’ pursued
Uriah. ‘Dear me, what a prophet you have proved yourself to be! Don’t
you remember saying to me once, that perhaps I should be a partner in
Mr. Wickfield’s business, and perhaps it might be Wickfield and
Heep? You may not recollect it; but when a person is umble, Master
Copperfield, a person treasures such things up!’ ‘I recollect talking about it,’ said I, ‘though I certainly did not
think it very likely then.’ ‘Oh! who would have thought it likely,
Mister Copperfield!’ returned Uriah, enthusiastically. ‘I am sure I
didn’t myself. I recollect saying with my own lips that I was much too
umble. So I considered myself really and truly.’ ‘But the umblest persons, Master Copperfield,’ he presently resumed,
‘may be the instruments of good. I am glad to think I have been the
instrument of good to Mr. Wickfield, and that I may be more so. Oh what
a worthy man he is, Mister Copperfield, but how imprudent he has been!’ ‘Decidedly so, Mister Copperfield,’ replied Uriah. ‘On all accounts.
Miss Agnes’s above all! You don’t remember your own eloquent
expressions, Master Copperfield; but I remember how you said one day
that everybody must admire her, and how I thanked you for it! You have
forgot that, I have no doubt, Master Copperfield?’",Dickens
"After repeating this, Edmund was so much affected that Fanny, watching him with silent, but most tender concern, was almost sorry that the subject had been entered on at all. It was long before he could speak again. At last, “Now, Fanny,” said he, “I shall soon have done. I have told you the substance of all that she said. As soon as I could speak, I replied that I had not supposed it possible, coming in such a state of mind into that house as I had done, that anything could occur to make me suffer more, but that she had been inflicting deeper wounds in almost every sentence. That though I had, in the course of our acquaintance, been often sensible of some difference in our opinions, on points, too, of some moment, it had not entered my imagination to conceive the difference could be such as she had now proved it. That the manner in which she treated the dreadful crime committed by her brother and my sister (with whom lay the greater seduction I pretended not to say), but the manner in which she spoke of the crime itself, giving it every reproach but the right; considering its ill consequences only as they were to be braved or overborne by a defiance of decency and impudence in wrong; and last of all, and above all, recommending to us a compliance, a compromise, an acquiescence in the continuance of the sin, on the chance of a marriage which, thinking as I now thought of her brother, should rather be prevented than sought; all this together most grievously convinced me that I had never understood her before, and that, as far as related to mind, it had been the creature of my own imagination, not Miss Crawford, that I had been too apt to dwell on for many months past. That, perhaps, it was best for me; I had less to regret in sacrificing a friendship, feelings, hopes which must, at any rate, have been torn from me now. And yet, that I must and would confess that, could I have restored her to what she had appeared to me before, I would infinitely prefer any increase of the pain of parting, for the sake of carrying with me the right of tenderness and esteem. This is what I said, the purport of it; but, as you may",Austen
